serial,name,value,notes
16-50115,CC_a0,1.22E-03,
16-50115,CC_a1,2.80E-04,
16-50115,CC_a2,-1.46E-06,
16-50115,CC_a3,2.00E-07,
16-50115,CC_cpcor,-9.57E-08,
16-50115,CC_ctcor,3.25E-06,
16-50115,CC_g,-9.77E-01,
16-50115,CC_h,1.54E-01,
16-50115,CC_i,-1.89E-04,
16-50115,CC_j,3.94E-05,
16-50115,CC_pa0,9.15E-02,
16-50115,CC_pa1,1.55E-03,
16-50115,CC_pa2,6.73E-12,
16-50115,CC_ptca0,5.24E+05,
16-50115,CC_ptca1,5.25E+00,
16-50115,CC_ptca2,-1.16E-01,
16-50115,CC_ptcb0,2.50E+01,
16-50115,CC_ptcb1,5.00E-05,
16-50115,CC_ptcb2,0.00E+00,
16-50115,CC_ptempa0,-8.09E+01,
16-50115,CC_ptempa1,4.72E+01,
16-50115,CC_ptempa2,-2.37E-01,
16-50115,CC_offset,0,
